countryID,CountryNameMap,CountryNameMN,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
266,Gabon,Gabon,D,D,0,3,,,,,,,,,,,,,,,,,
270,Gambia,Gambia The,31,31,18,29,29,25,27,17,9,17,7,4,7,,,,,,,,
268,Georgia,Georgia,7,12,12,4,9,8,3,6,4,7,1,3,,,,,,,,,
276,Germany,Germany,78,73,78,95,95,89,92,64,138,116,94,64,74,60,77,63,95,76,138,74,59
288,Ghana,Ghana,157,154,133,103,177,119,116,85,67,77,57,51,50,51,58,56,21,16,24,13,22
300,Greece,Greece,6,4,3,4,9,5,8,5,4,9,2,3,7,7,5,11,13,14,8,10,13
308,Grenada,Grenada,0,0,0,0,D,0,D,D,1,,0,0,1,,,,,,,,
320,Guatemala,Guatemala,48,90,209,282,289,287,182,137,172,114,91,49,75,64,54,28,33,23,25,36,22
324,Guinea,Guinea,32,55,45,35,32,19,16,0,0,,0,0,1,,,,,,,,
624,Guinea-Bissau,Guinea0Bissau,0,0,0,0,0,0,0,8,7,9,1,3,2,,,,,,,,
328,Guyana,Guyana,83,110,115,111,114,180,91,106,131,163,85,70,67,71,88,96,141,68,105,131,110
332,Haiti,Haiti,13,17,33,25,28,13,22,19,11,22,9,9,9,19,48,29,16,5,9,15,23
340,Honduras,Honduras,30,34,41,26,52,37,29,28,39,26,19,22,22,14,22,16,17,28,34,40,39
344,Hong Kong,Hong Kong,27,13,12,12,31,32,29,12,43,75,27,29,53,46,46,40,64,74,63,50,59
348,Hungary,Hungary,11,12,4,13,9,13,10,15,16,11,10,8,4,9,18,5,2,1,12,11,12
352,Iceland,Iceland,0,0,0,0,D,6,D,5,6,2,9,,,,,,,,,,
356,India,India,725,596,609,573,391,830,707,651,1001,795,441,291,455,305,376,266,183,236,257,226,171
360,Indonesia,Indonesia,21,38,24,36,26,43,22,21,30,18,23,3,11,13,14,9,9,5,8,13,3
