Year,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
All Countries,12408,18020,15832,13814,18254,15456,11708,8406,13522,11166,8671,5956,6981,8233,8977,8111,7098,7438,6851,7461,6627
Africa,5076,9579,7659,5167,7308,6073,4319,2775,4277,2641,1900,1393,1731,2306,1735,1656,763,590,452,535,518
Asia ,4697,4963,4776,5280,6479,4397,3697,2814,4288,3878,3050,2089,2441,3112,4163,3795,3761,4162,4141,3974,4119
Europe,919,1235,1170,1177,1965,2452,1620,1362,2597,2421,1900,1175,1354,1503,1683,1497,1446,1671,1171,1338,796
North America ,1196,1581,1599,1502,1750,1723,1510,626,1736,1606,1356,924,1048,969,1048,816,671,652,702,1193,784
Oceania ,54,53,52,61,51,83,51,41,51,62,49,27,35,26,46,32,36,59,50,41,24
South America ,459,588,563,615,669,686,456,400,549,541,391,322,289,269,302,315,421,304,335,380,386
Unknown,7,21,13,12,32,42,55,388,24,17,25,26,83,48,0,0,0,0,,,
